DISTRICT,PANCHAYATSAMITI,GRAMPANCHAYAT,ward_category,Name of Sarpanch,Sex,Category
BARAN,KISHANGANJ,BANSTHUNI,GENW,RUKSANA,F,OBCW
BARAN,KISHANGANJ,BARUNI,ST,PARI BAI,F,STW
BARAN,KISHANGANJ,BHANW ARGARH,GEN,SATYA NARAYAN,M,SC
BARAN,KISHANGANJ,BOILASGARH,GENW,RUKMANI W/O TAJENDRA,F,OBCW
BARAN,KISHANGANJ,BRAJNAGAR,SC,LAD KUWER,F,SCW
BARAN,KISHANGANJ,CHATRAGANJ,ST,OM PRAKESH,M,ST
BARAN,KISHANGANJ,CHEENOD,SC,DENDAYAL,M,SC
BARAN,KISHANGANJ,DEEGODP AR,GENW,SAVTRI BAI,F,GENW
BARAN,KISHANGANJ,GANESHPURA,ST,PHOOL CHAND,M,ST
BARAN,KISHANGANJ,GARDA,GENW,SAKUNTALA,F,GENW
BARAN,KISHANGANJ,GHATTI,GEN,SHANKER MANDEL,M,GEN
BARAN,KISHANGANJ,JALWARA,SC,PRATAP BAI,F,SCW
BARAN,KISHANGANJ,KANKDARA,SC,RAM NATHI BAI,F,SCW
BARAN,KISHANGANJ,KARWARI KALAN,ST,BABU LAL,M,ST
BARAN,KISHANGANJ,KHANDELA,ST,BHADU,M,ST
BARAN,KISHANGANJ,KHAYAVDA,GENW,BHAROSI BAI,F,OBCW
BARAN,KISHANGANJ,KISHANGARJ,GENW,KANTI BAI,F,OBCW
BARAN,KISHANGANJ,NAHARGARH,GEN,DEVENDRA,M,GEN
BARAN,KISHANGANJ,PARANIYA,OBC,RAM RATAN,M,OBC
BARAN,KISHANGANJ,PIPALDA KALAN,GEN,MURARI LAL MEENA,M,ST
BARAN,KISHANGANJ,RAMGARH,GENW,URMILA BAI,F,GENW
BARAN,KISHANGANJ,RAMPURAI TODIYA,ST,CHENTA RAM,M,ST
BARAN,KISHANGANJ,RANIBADOD,GEN,SHABHU DAYAL,M,GEN
BARAN,KISHANGANJ,RELAWAN,ST,BASNTI BAI MEENA W/O BABU LAL,F,STW
BARAN,KISHANGANJ,SAKARAW ADA,GENW,NIRMAL KAWER,F,GENW
BARAN,KISHANGANJ,SEEMLOD,GEN,SHOJI,M,OBC
BARAN,KISHANGANJ,SEW ANI,ST,SURESH KUMAR,M,ST
BARAN,KISHANGANJ,SUNW AS,GENW,UARMILA,F,OBCW
BARAN,SHAHBAD,AAGAR,GENW,KAMLESH W/O MANSUKH,F,OBCW
BARAN,SHAHBAD,BALDA,GENW,MANPRIT KOR,F,GENW
BARAN,SHAHBAD,BAMANGAW A,ST,T AJA,M,ST
BARAN,SHAHBAD,BEECHI,GEN,PUKHO,F,OBCW
BARAN,SHAHBAD,BEELKHEDA DANG,GENW,SANDYA,F,GENW
BARAN,SHAHBAD,BEELKHEDA MAL,GEN,CHIRONJI LAL,M,OBC
BARAN,SHAHBAD,BET A,ST,RAJ KUMARI,F,STW
BARAN,SHAHBAD,DEW ARI,OBC,RAMJI LAL,M,OBC
BARAN,SHAHBAD,DIGW ANI,ST,SURAJ SINGH,M,ST
BARAN,SHAHBAD,GADRET A,GEN,SAROJ,F,OBCW
BARAN,SHAHBAD,GANESHPURA,GENW,ANGURI BAI,F,OBCW
BARAN,SHAHBAD,KAILWARA,ST,NEERAJ MEENA,M,ST
BARAN,SHAHBAD,KASBA NONERA,ST,GANESH LAL,M,ST
BARAN,SHAHBAD,KASBATHANA,GEN,RAKESH SHARMA,M,GEN
BARAN,SHAHBAD,KHANDA SAHROL,STW,SUSILA BAI,F,STW
BARAN,SHAHBAD,KHATAKA,SC,RANGI LAL,M,SC
BARAN,SHAHBAD,KHUSHIY ARA,ST,YASODA BAI,F,STW
BARAN,SHAHBAD,MAHODRA,GEN,MAMTA,F,OBCW
BARAN,SHAHBAD,MUDIYAR,ST,HAR LAL SHHRIYA,M,ST
BARAN,SHAHBAD,NATAI,SC,KOSAL,F,SCW
BARAN,SHAHBAD,PIP ALKHERI,SC,SAWANTI,F,SCW
BARAN,SHAHBAD,RAJPUR,ST,VIDYA BAI,F,STW
BARAN,SHAHBAD,SAHABAD,GEN,DHARMENDRA,M,OBC
BARAN,SHAHBAD,SAMRANIY A,GENW,RAJNI,F,OBCW
BARAN,SHAHBAD,SANDOKRA,GEN,JADO,M,OBC
BARAN,SHAHBAD,SANW ARA,GEN,CHATUR SINGH,M,OBC
BARAN,SHAHBAD,SHUBHGHARA,SC,DALLU RAM,M,SC
BARMER,BALOTRA,AAKDLI BAKSIRAM,GEN,VEERA RAM,M,SC
BARMER,BALOTRA,AASOTARA,SC,NATWAR LAL,M,SC
BARMER,BALOTRA,ARABA,GENW,GUDDI KANWAR,F,GENW
BARMER,BALOTRA,ASADA,GENW,SAJJAN KANWAR,F,GENW
BARMER,BALOTRA,BADNAWA JAGEER,GENW,SAMU,F,OBCW
BARMER,BALOTRA,BAGAW AS,GEN,TEJKARAN,M,OBC
BARMER,BALOTRA,BALAUJATI,GEN,VARJU DEVI,F,GENW
BARMER,BALOTRA,BANIYAWAS,OBCW,CHAND KANWAR,F,OBCW
BARMER,BALOTRA,BEETHUJA,OBC,BABU LAL,M,OBC
BARMER,BALOTRA,CHANDESRA,GEN,MOHRO KANWAR,F,GENW
BARMER,BALOTRA,CHILANADI,GENW,ANTI DEVI,F,OBCW
BARMER,BALOTRA,DHANI SANKHALA,STW,TEEJKI DEVI,F,STW
BARMER,BALOTRA,DOLI KALAN,ST,POLA RAM,M,ST
BARMER,BALOTRA,DUDW A,GENW,CHUNI DEVI,F,OBCW
BARMER,BALOTRA,GANGAWAS,GENW,VADU DEVI,F,OBCW
BARMER,BALOTRA,GOL STATION,GEN,LAXMAN SINGH,M,GEN
BARMER,BALOTRA,GOPDI,GEN,ALI KHAN,M,GEN
BARMER,BALOTRA,GW ALNADA,ST,SUKHA RAM,M,ST
BARMER,BALOTRA,JAGSA,GEN,CHANANI DEVI,F,OBCW
BARMER,BALOTRA,JASOL,SCW,MANJU DEVI,F,SCW
BARMER,BALOTRA,KALEW A,GEN,AIDAN RAM,M,OBC
BARMER,BALOTRA,KALUNDI,SCW,KAMLA DEVI,F,SCW
BARMER,BALOTRA,KAL Y ANPUR,OBC,DAULA RAM,M,OBC
BARMER,BALOTRA,KANANA,OBC,GUNESHA RAM,M,OBC
BARMER,BALOTRA,KANKRLA,GENW,GEEGI,F,OBCW
BARMER,BALOTRA,KHANODA,GEN,GUMNA RAM,M,SC
BARMER,BALOTRA,KHTU,GEN,GOMA RAM,M,OBC
BARMER,BALOTRA,KIT ANOD,SCW,JADAV DEVI,F,SCW
BARMER,BALOTRA,KORNA,GENW,SAVITRI,F,GENW
BARMER,BALOTRA,KUDI,GENW,PRAMILA KANWAR,F,GENW
BARMER,BALOTRA,MAJIWALA,OBC,KUMPA RAM,M,OBC
BARMER,BALOTRA,MANDLI,ST,CHITA DEVI,F,STW
BARMER,BALOTRA,MEW ANAGAR,SC,POLA RAM,M,SC
BARMER,BALOTRA,MULI KI DHANI,GENW,HIMANSHU KANWAR,F,GENW
BARMER,BALOTRA,MUNGADA,OBCW,MANJU DEVI,F,OBCW
BARMER,BALOTRA,NABODA BERA,GEN,ROSHAN ALI,M,OBC
BARMER,BALOTRA,NAVATLA,OBC,VIRDHA RAM,M,OBC
BARMER,BALOTRA,NEW ARI,GEN,MOHAN SINGH,M,GEN
BARMER,BALOTRA,P ACHP ADRA,GENW,KALAWATI,F,OBCW
BARMER,BALOTRA,PARLU,SC,NARAYAN LAL,M,SC
BARMER,BALOTRA,PATODI,GEN,HANUWANT SINGH,M,GEN
BARMER,BALOTRA,REWARA MAIYA,OBCW,MEERO,F,OBCW
BARMER,BALOTRA,SAMBHARA,OBCW,DAI,F,OBCW
BARMER,BALOTRA,SANJIYALI PADAMSINGH (FIRST),GENW,MANGI DEVI,F,OBCW
BARMER,BALOTRA,SANJIYALI ROOPJI RAJABERI,SC,DUDA RAM,M,SC
BARMER,BALOTRA,SARANA,STW,TEEJO DEVI,F,STW
BARMER,BALOTRA,SARW ADI,GENW,NARAYAN KANWAR,F,GENW
BARMER,BALOTRA,SIMARKHIYA,GEN,RAHEEM KHAN,M,OBC
BARMER,BALOTRA,SINLI JAGEER,GEN,BHIMA RAM,M,OBC
BARMER,BALOTRA,TAPRA,OBCW,MATHRA,F,OBCW
BARMER,BALOTRA,THOB,GEN,PARVAT SINGH,M,GEN
BARMER,BALOTRA,THUMBALI,GENW,SUKI DEVI,F,OBCW
BARMER,BALOTRA,TILWARA,OBCW,ANNAPURNA,F,OBCW
BARMER,BALOTRA,UMARLAI,GENW,SAVAR KANWAR,F,GENW
BARMER,BARMER,AAKODA,GEN,MALA RAM,M,OBC
BARMER,BARMER,AANTI,GENW,AVAN KANWAR,F,GENW
BARMER,BARMER,BABUGULERIY A,GENW,MOOLI,F,OBCW
BARMER,BARMER,BACHHDAU,SCW,MOOMAL,F,SCW
BARMER,BARMER,BALERA,GENW,CHANDU DEVI,F,GENW
BARMER,BARMER,BARMER AAGOR,SCW,KAMLA,F,SCW
BARMER,BARMER,BHACHBHAR,GEN,FATU KHAN,M,GEN
BARMER,BARMER,BHADRES,GENW,USHA,F,GENW
BARMER,BARMER,BHINDE KA PAR,GENW,FATMA,F,OBCW
BARMER,BARMER,BISALA,OBC,BALWANT SINGH,M,OBC
BARMER,BARMER,BISALA AAGOR,GEN,MOTA RAM,M,OBC
BARMER,BARMER,BOLA,OBC,CHIMA RAM,M,OBC
BARMER,BARMER,BOOTH JAITMAL,GEN,JETHA RAM,M,OBC
BARMER,BARMER,BUTHIYA,GENW,SALMA,F,OBCW
BARMER,BARMER,CHADAR MADRUP,SC,DALU RAM,M,SC
BARMER,BARMER,CHADI,GENW,HARKHU DEVI,F,OBCW
BARMER,BARMER,CHULI,OBCW,HAUWA,F,OBCW
BARMER,BARMER,DERASAR,GENW,SARO,F,OBCW
BARMER,BARMER,DHARASAR,OBCW,RAMBHA,F,OBCW
BARMER,BARMER,DUDABERI,SCW,RUKHMO DEVI,F,SCW
BARMER,BARMER,GAGRIYA,SC,FATMA,F,SCW
BARMER,BARMER,GANGALA,SC,DEVJI,M,SC
BARMER,BARMER,GARAL,GEN,CHUNA RAM,M,OBC
BARMER,BARMER,GARDIYA,GENW,AMLA,F,OBCW
BARMER,BARMER,HATHAMA,STW,PALU DEVI,F,STW
BARMER,BARMER,HATHITALA,GENW,LALI DEVI,F,OBCW
BARMER,BARMER,INDRAI,OBC,NARSINGA RAM,M,OBC
BARMER,BARMER,ISHROL,SCW,HARIYO DEVI,F,SCW
BARMER,BARMER,JAKHDO KI DHANI,GEN,HEMANT KUMAR,M,OBC
BARMER,BARMER,JALIPA,GEN,SAYAR KANWAR,F,GENW
BARMER,BARMER,JASAI,GEN,KUNTA KANWAR,F,GENW
BARMER,BARMER,KANTAL KA PAR,GEN,VASEER,M,OBC
BARMER,BARMER,KHADEEN,OBCW,AMRU DEVI,F,OBCW
BARMER,BARMER,LILSAR,SC,MOOLA RAM,M,SC
BARMER,BARMER,MAHABAR,GEN,HEM SINGH,M,GEN
BARMER,BARMER,MARUNDI,ST,BHABHUT A,M,ST
BARMER,BARMER,MEETHDA,GEN,PAWAN KANWAR,F,GENW
BARMER,BARMER,NAND,OBCW,FOOSI DEVI,F,OBCW
BARMER,BARMER,PADHI KA PAR,GENW,DHAI,F,OBCW
BARMER,BARMER,RAMSAR,OBC,AASU LAL,M,OBC
BARMER,BARMER,RANIGAON,GENW,KAMAL KANWAR,F,GENW
BARMER,BARMER,RATASAR,OBCW,DAMI,F,OBCW
BARMER,BARMER,SANAU,GEN,BALWANT SINGH,M,GEN
BARMER,BARMER,SANAW ARA,GEN,GANGA,F,OBCW
BARMER,BARMER,SETRAU,OBC,MASINGA RAM,M,OBC
BARMER,BARMER,SINHANI,GEN,PARBAT SINGH,M,GEN
BARMER,BARMER,SURA CHARAN,OBCW,RANU,F,OBCW
BARMER,BARMER,TARATARA,GENW,CHANANI DEVI,F,OBCW
BARMER,BARMER,TARATARA MATH,SC,CHUGA RAM,M,SC
BARMER,BARMER,UNDKHA,GENW,RAM KANWAR,F,GENW
BARMER,BAYTOO,AKDRA,SC,RANA RAM,M,SC
BARMER,BAYTOO,BAITU BHEEMJI,GENW,BHIKHI DEVI,F,OBCW
BARMER,BAYTOO,BAITU BHOPJI,GEN,AASU RAM,M,OBC
BARMER,BAYTOO,BAITU CHIMANJI,OBCW,BALI DEVI,F,OBCW
BARMER,BAYTOO,BAITU PANJI,OBCW,POORO,F,OBCW
BARMER,BAYTOO,BANDRA,ST,JIYA RAM,M,ST
BARMER,BAYTOO,BATADU,GEN,KHETA RAM,M,OBC
BARMER,BAYTOO,BHADKHA,GEN,NATHA RAM,M,OBC
BARMER,BAYTOO,BHEEMDA,GEN,VAGTA RAM,M,OBC
BARMER,BAYTOO,BHURTIYA,GEN,MANOJ KUMAR THORI,M,OBC
BARMER,BAYTOO,CHHITAR KA PAR,GENW,MANI DEVI,F,OBCW
BARMER,BAYTOO,CHIBI,SC,SHERU DEVI,F,SCW
BARMER,BAYTOO,CHIDIY A,GENW,MAGIDEVI,F,OBCW
BARMER,BAYTOO,CHOKHALA,SC,IMIYO,F,SCW
BARMER,BAYTOO,GIDA,STW,LEELA DEVI,F,STW
BARMER,BAYTOO,HEERA KI DHANI,OBCW,RAMU DEVI,F,OBCW
BARMER,BAYTOO,JAJWA,GENW,SUA KANWAR,F,GENW
BARMER,BAYTOO,JAKHDA,GEN,NARAYAN RAM,M,OBC
BARMER,BAYTOO,JHAK,GENW,GULI DEVI,F,GENW
BARMER,BAYTOO,KANOD,SCW,PANI KANWAR,F,SCW
BARMER,BAYTOO,KAPURDI,GEN,BANKA RAM,M,OBC
BARMER,BAYTOO,KASUMBALA BHATIYAN,OBC,KHIMA RAM,M,OBC
BARMER,BAYTOO,KAWAS,GENW,RAJKUMARI,F,OBCW
BARMER,BAYTOO,KHARAPAR,GEN,LAXMAN RAM,M,OBC
BARMER,BAYTOO,KHARDA BHARAT SINGH,SC,PEMPO DEVI,F,SCW
BARMER,BAYTOO,KHEEPSAR,GEN,JOGA RAM,M,OBC
BARMER,BAYTOO,KHOKHSAR,GENW,MEERO DEVI,F,OBCW
BARMER,BAYTOO,KHOKHSAR PASCHIM,GENW,CHOTHI DEVI,F,OBCW
BARMER,BAYTOO,KOLU,GEN,HEERA RAM,M,OBC
BARMER,BAYTOO,KOSRIY A,GEN,RUGH RAM,M,OBC
BARMER,BAYTOO,KUMPLIY A,OBC,DHEERA RAM,M,OBC
BARMER,BAYTOO,LAPUNDRA,GENW,LAUGO DEVI,F,SCW
BARMER,BAYTOO,LUNAWADA,GENW,MEERA DEVI,F,OBCW
BARMER,BAYTOO,MADHASAR,OBC,HIMTHA RAM,M,OBC
BARMER,BAYTOO,MADPURA BARWALA,GENW,SANTOSH,F,OBCW
BARMER,BAYTOO,MUDHO KI DHANI,GENW,JHIMO DEVI,F,GENW
BARMER,BAYTOO,NAGODI DHATRWALON KI DHANI,OBCW,POORO,F,OBCW
BARMER,BAYTOO,PANWADA,OBCW,BALI DEVI,F,OBCW
BARMER,BAYTOO,PAREU,GEN,PARVAT SINGH,M,GEN
BARMER,BAYTOO,PUNION KA TALA,GENW,PUSHPA DEVI,F,OBCW
BARMER,BAYTOO,RATEU,GEN,KISHAN LAL,M,OBC
BARMER,BAYTOO,SAHAR,GENW,SONI DEVI,F,OBCW
BARMER,BAYTOO,SANT ARA,OBC,BHAGWANA RAM,M,OBC
BARMER,BAYTOO,SAWAU MULRAJ,GEN,MANGNA RAM,M,OBC
BARMER,BAYTOO,SAWAU PADANSINGH,OBC,RATNA RAM,M,OBC
BARMER,BAYTOO,SIGODIY A,SCW,SINGARI,F,SCW
BARMER,BAYTOO,SOHDA,SCW,HEERA DEVI,F,SCW
BARMER,CHOHT AN,AALAMSAR,GENW,SAHIBI,F,OBCW
BARMER,CHOHT AN,AANTIYA,GENW,CHENI DEVI,F,OBCW
BARMER,CHOHT AN,ARTI,SC,P ALI,F,SCW
BARMER,CHOHT AN,BABRWALA,GENW,PEMPI,F,OBCW
BARMER,CHOHT AN,BAKHASAR,GEN,TEJMAL SINGH,M,GEN
BARMER,CHOHT AN,BAWARI KALA,OBCW,GOGI DEVI,F,OBCW
BARMER,CHOHT AN,BHALGAON,GENW,MEERO,F,SCW
BARMER,CHOHT AN,BHANW AR,GENW,SALAMAT,F,GENW
BARMER,CHOHT AN,BHANWARIYA,ST,KALA,M,ST
BARMER,CHOHT AN,BHOJARIYA,GENW,AMANI,F,GENW
BARMER,CHOHT AN,BIJASAR,GEN,NAZAR ALI,M,GEN
BARMER,CHOHT AN,BIJRAD,SC,GORDHAN RAM,M,SC
BARMER,CHOHT AN,BISASAR,ST,CHATRA,M,ST
BARMER,CHOHT AN,BURHAN KA TALA,OBC,ABDUL HAQ,M,OBC
BARMER,CHOHT AN,BUTHRATHODAN,ST,LOONA RAM,M,ST
BARMER,CHOHT AN,CHICHADASAR,GENW,SAYRA BANO,F,OBCW
BARMER,CHOHT AN,CHOHT AN,OBC,MOHAN LAL,M,OBC
BARMER,CHOHT AN,DESUDAR,GEN,NARSINGH,M,SC
BARMER,CHOHT AN,DHANAU,OBCW,ANASI DEVI,F,OBCW
BARMER,CHOHT AN,DHOK,GENW,KELU URF KEKU DEVI,F,GENW
BARMER,CHOHT AN,FAGALIYA,GENW,DHEL KANWAR,F,GENW
BARMER,CHOHT AN,GOHED KA TALA,GEN,SATRAMDAS,M,GEN
BARMER,CHOHT AN,GUMANE KA TALA,GEN,GEMRA RAM,M,OBC
BARMER,CHOHT AN,HARP ALIY A,GENW,SATI,F,OBCW
BARMER,CHOHT AN,HATHLA,SCW,AASI DEVI,F,SCW
BARMER,CHOHT AN,IT ADA,SCW,GAWARI,F,SCW
BARMER,CHOHT AN,JANPALIYA,GENW,KAREEMA,F,OBCW
BARMER,CHOHT AN,JHADPA,GENW,JAMIYAT,F,OBCW
BARMER,CHOHT AN,KAPRAU,SC,BHANI,F,SCW
BARMER,CHOHT AN,KELNOR,SCW,LAXMI,F,SCW
BARMER,CHOHT AN,KONRA,STW,TARI,F,STW
BARMER,CHOHT AN,MEETHA KA TALA,GEN,IDRISH,M,GEN
BARMER,CHOHT AN,MITHRAU,SCW,KHATU,F,SCW
BARMER,CHOHT AN,NAVATLA BAKHASAR,SC,BABU RAM,M,SC
BARMER,CHOHT AN,NAVATLA JAITMAL,GENW,MEER KANWAR,F,GENW
BARMER,CHOHT AN,NETRAD,SCW,SONI,F,SCW
BARMER,CHOHT AN,P ANORIY A,GEN,KARNA RAM,M,OBC
BARMER,CHOHT AN,POKRASAR,SCW,SAJANI,F,SCW
BARMER,CHOHT AN,RABSAR,OBC,BARKAT ALI,M,OBC
BARMER,CHOHT AN,RAMJAN KI GAFAN,STW,MARIYAM,F,STW
BARMER,CHOHT AN,SALARIYA,OBCW,IMAMAT,F,OBCW
BARMER,CHOHT AN,SANT A,GEN,MEENA DEVI,F,OBCW
BARMER,CHOHT AN,SANW AI,OBCW,DHAPUDEVI,F,OBCW
BARMER,CHOHT AN,SARLA,OBC,HIMTHA RAM,M,OBC
BARMER,CHOHT AN,SARUPE KA TALA,GEN,HAMEER,F,OBCW
BARMER,CHOHT AN,SEWADA,SC,DHAI,F,SCW
BARMER,CHOHT AN,SHOBHALA JAITMAL,GEN,DASHRATH SINGH,M,GEN
BARMER,CHOHT AN,SHRIRAMWALA,SC,VIRDHA RAM,M,SC
BARMER,CHOHT AN,T ALSAR,GEN,JWAHAR RAM,M,OBC
BARMER,CHOHT AN,TARLA,GEN,CHANANA,M,OBC
BARMER,CHOHT AN,UPARLA,GEN,MOHBTA RAM,M,OBC
BARMER,DHORIMANNA,ALAPURA,SC,MOBT A,M,SC
BARMER,DHORIMANNA,ARNIY ALI,GENW,PARVATI DEVI,F,OBCW
BARMER,DHORIMANNA,BAMDALA,OBC,MAHENDRA PAL,M,OBC
BARMER,DHORIMANNA,BAMNOR,GEN,GULAM SHAH,M,GEN
BARMER,DHORIMANNA,BANT A,GENW,LACHI DEVI,F,OBCW
BARMER,DHORIMANNA,BARASAN,GENW,PANCHU DEVI,F,OBCW
BARMER,DHORIMANNA,BERIGAON,ST,LACHHU,F,STW
BARMER,DHORIMANNA,BHALISAR,GEN,BABU LAL,M,GEN
BARMER,DHORIMANNA,BHANKHARPURA,GENW,SEEMA KANWAR,F,GENW
BARMER,DHORIMANNA,BHEEMTHAL,GEN,KUNANI,F,OBCW
BARMER,DHORIMANNA,BHENADA,OBCW,MAREMO,F,OBCW
BARMER,DHORIMANNA,BHERUDI,GEN,THAKRA RAM,M,OBC
BARMER,DHORIMANNA,BHUNIY A,GENW,PRAMILA CHOUDHARY,F,GENW
BARMER,DHORIMANNA,BISARNIY A,GENW,FOOLI DEVI,F,OBCW
BARMER,DHORIMANNA,BORCHARANAN,SC,KISTURA RAM,M,SC
BARMER,DHORIMANNA,CHAINPURA,SC,KHEMA RAM,M,SC
BARMER,DHORIMANNA,DHORIMANNA,OBC,SUKH RAM,M,OBC
BARMER,DHORIMANNA,DUDHU,GENW,REKHA DEVI,F,OBCW
BARMER,DHORIMANNA,GANDHVKALA,SCW,MOHNI DEVI,F,SCW
BARMER,DHORIMANNA,GANGASRA,OBCW,AASHA,F,OBCW
BARMER,DHORIMANNA,GODA,GENW,NENU DEVI,F,OBCW
BARMER,DHORIMANNA,GUDAMALANI,GENW,AMARBAI,F,GENW
BARMER,DHORIMANNA,KAOJA,GENW,KAILI DEVI,F,OBCW
BARMER,DHORIMANNA,KARTIYA,ST,KALA,M,ST
BARMER,DHORIMANNA,KEKAD,SCW,BABRI DEVI,F,SCW
BARMER,DHORIMANNA,KHARI,OBCW,CHUNI DEVI,F,OBCW
BARMER,DHORIMANNA,KITNORIYA,GENW,IJJAT,F,OBCW
BARMER,DHORIMANNA,LOHARW A,STW,SHANTI DEVI,F,STW
BARMER,DHORIMANNA,LUKHU,GEN,MAGA RAM,M,OBC
BARMER,DHORIMANNA,LUNW AJAGEER,OBCW,KUMBHI DEVI,F,OBCW
BARMER,DHORIMANNA,MANGELE KI BERI,GEN,HARI RAM,M,OBC
BARMER,DHORIMANNA,MANGTA,OBCW,INAYAT,F,OBCW
BARMER,DHORIMANNA,MEETHADA KHURD,GEN,ACHALA RAM,M,OBC
BARMER,DHORIMANNA,MOKHAV KHURD,GEN,LADHU RAM,M,OBC
BARMER,DHORIMANNA,NAGAR,GENW,SURAJ KANWAR,F,GENW
BARMER,DHORIMANNA,NAVATALA RATHODAN,GEN,RAICHAND RAM,M,OBC
BARMER,DHORIMANNA,NEDINADI,OBC,HARLAL RAM,M,OBC
BARMER,DHORIMANNA,NEHRO KI NADI,OBC,SAARO,F,OBCW
BARMER,DHORIMANNA,OGALA,GEN,HEMI DEVI,F,OBCW
BARMER,DHORIMANNA,PIPRALI,SCW,MAKIYO,F,SCW
BARMER,DHORIMANNA,RANASAR KALAN,OBC,SONA RAM,M,OBC
BARMER,DHORIMANNA,RATANPURA,GEN,TIKMA RAM,M,OBC
BARMER,DHORIMANNA,SHOBHALA DSARSHAN,GEN,GANGA RAM,M,OBC
BARMER,DHORIMANNA,SIDHASWA HARNIYAN,GENW,HAPIYO,F,OBCW
BARMER,DHORIMANNA,SONADI,GEN,POKRA RAM,M,GEN
BARMER,DHORIMANNA,SUDABERI,GEN,VEERMA,M,OBC
BARMER,DHORIMANNA,UDASAR,SCW,KATU DEVI,F,SCW
BARMER,SHEO,AARANG,SC,KANA RAM,M,SC
BARMER,SHEO,AASADI,GENW,JAM KANWAR,F,GENW
BARMER,SHEO,AKALI,GEN,BASANT SINGH,M,GEN
BARMER,SHEO,BALASAR,GENW,SAKU KANWAR,F,GENW
BARMER,SHEO,BALEW A,GEN,TULCHI DEVI,F,OBCW
BARMER,SHEO,BANDHRA,SC,PANU RAM,M,SC
BARMER,SHEO,BEEJAWAL,OBC,KAJEE KHAN,M,OBC
BARMER,SHEO,BEESUKALA,OBC,DANARAM,M,OBC
BARMER,SHEO,BHIYAD,GEN,MURAR SINGH,M,GEN
BARMER,SHEO,CHETRODI,GENW,SAYAR KANWAR,F,GENW
BARMER,SHEO,CHOCHARA,OBCW,TULSI BAI,F,OBCW
BARMER,SHEO,DHARVIKALAN,GENW,TARA KANWAR,F,GENW
BARMER,SHEO,FOGERA,GENW,SARE KANWAR,F,GENW
BARMER,SHEO,GADRAROAD,OBCW,SAMDA DEVI,F,OBCW
BARMER,SHEO,GIRAB,OBCW,KAMLA,F,OBCW
BARMER,SHEO,GUNGA,GEN,MURAR DAN,M,OBC
BARMER,SHEO,HARSANI,SCW,MATKA DEVI,F,SCW
BARMER,SHEO,HATHI SINGH KA GAON,STW,BABRI,F,STW
BARMER,SHEO,JAISINDHAR GAON,GEN,SHER MOHAMMAD,M,OBC
BARMER,SHEO,JAISINDHAR STATION,OBC,NAVAB KHAN,M,OBC
BARMER,SHEO,JHANKALI,SCW,SWATI,F,SCW
BARMER,SHEO,JHAPLI KALA,GEN,RAHEEM KHAN,M,GEN
BARMER,SHEO,KANASAR,OBC,NAGA RAM,M,OBC
BARMER,SHEO,KASHMEER,GENW,LACHI DEVI,F,GENW
BARMER,SHEO,KHABDALA,GEN,CHANDRA KANWAR,F,GENW
BARMER,SHEO,KHALIFE KI BAVDI,GEN,ROSHAN KHAN,M,OBC
BARMER,SHEO,KHANIY ANI,GENW,AMNI,F,GENW
BARMER,SHEO,KHARCHI,GEN,AAL SINGH,M,OBC
BARMER,SHEO,KOTDA,GEN,ISHWAR SINGH,M,GEN
BARMER,SHEO,MOKHAB,GEN,ANTAR KANWAR,F,GENW
BARMER,SHEO,MUNGERIY A,SC,PANCHI DEVI,F,SCW
BARMER,SHEO,NAGARDA,GENW,HAR KANWAR,F,GENW
BARMER,SHEO,NIMBALA,GEN,DIPSINGH,M,GEN
BARMER,SHEO,RAJBERA,OBCW,JAMALI,F,OBCW
BARMER,SHEO,RAJDAL,SCW,PANCHI DEVI,F,SCW
BARMER,SHEO,RANASAR,GENW,GOPI DEVI,F,SCW
BARMER,SHEO,REDANA,SC,KEKUDEVI,F,SCW
BARMER,SHEO,ROHINI,GENW,SAREEFA,F,GENW
BARMER,SHEO,SAHADAD KA PAR,GEN,SARADEEN,M,OBC
BARMER,SHEO,SHIV,GEN,DERAVAR SINGH,M,GEN
BARMER,SHEO,SUNDARA,GENW,JADA KANWAR,F,GENW
BARMER,SHEO,SWAMI KA GAON,OBCW,SAMANI,F,OBCW
BARMER,SHEO,T AMLOR,GENW,SURAJ KANWAR,F,GENW
BARMER,SHEO,T ANUMANJI,GENW,SUGAN KANWAR,F,GENW
BARMER,SHEO,UNDU,ST,NANGA RAM,M,ST
BARMER,SINDHARI,AADEL,OBC,MONI DEVI,F,OBCW
BARMER,SINDHARI,ADARSH CHAWA,GEN,BHAGAT SINGH,M,OBC
BARMER,SINDHARI,ADSINDHARI,GEN,PANNA RAM,M,OBC
BARMER,SINDHARI,BANDH,GENW,MANU DEVI,F,GENW
BARMER,SINDHARI,BERIWALA TALA,GEN,KHARTHA RAM,M,GEN
BARMER,SINDHARI,BHUNKA BAGATSINGH,GEN,SUMER SINGH,M,GEN
BARMER,SINDHARI,BODV A,GENW,DHELI DEVI,F,OBCW
BARMER,SINDHARI,CHAWA,OBC,CHATRU,F,OBCW
BARMER,SINDHARI,CHHOTU,OBC,MOOLA RAM,M,OBC
BARMER,SINDHARI,DANDALI,GENW,ANACHI DEVI,F,GENW
BARMER,SINDHARI,DANKHA,GENW,LEEL KANWAR,F,GENW
BARMER,SINDHARI,DHANVA,SCW,NENU,F,SCW
BARMER,SINDHARI,DHOLANADA,GEN,AMLU RAM,M,OBC
