District,PanchayatSamiti,NameOfGramPanchyat,CategoryOfGramPanchyat
BARAN,CHHABRA,DILOD,General (Woman)
BARAN,CHHABRA,FALIYA,General
BARAN,CHHABRA,GHATAKHERI,General
BARAN,CHHABRA,GODIYAMEHAR,ST
BARAN,CHHABRA,GUGOR,General
BARAN,CHHABRA,HANAHEDI,SC
BARAN,CHHABRA,JAIPALA,General (Woman)
BARAN,CHHABRA,JHARKHERIU,ST (Woman)
BARAN,CHHABRA,KADAIYANOHAR,General
BARAN,CHHABRA,KADIYAHAT,General (Woman)
BARAN,CHHABRA,KHOPAR,General (Woman)
BARAN,CHHABRA,KOTDAPAR,OBC
BARAN,CHHABRA,MUDKAYA,OBC (Woman)
BARAN,CHHABRA,MUNDALA,ST (Woman)
BARAN,CHHABRA,NIPANIYA,ST
BARAN,CHHABRA,PACHPADA,SC
BARAN,CHHABRA,PALI,General
BARAN,CHHABRA,SEMLI,ST
BARAN,CHHABRA,TEETARKHEDI,SC (Woman)
BARAN,CHHABRA,TELNI,SC (Woman)
BARAN,CHHIPABAROD,AJANAWAR,General
BARAN,CHHIPABAROD,AMLAWADAALI,General
BARAN,CHHIPABAROD,BAMORI GHATA,General (Woman)
BARAN,CHHIPABAROD,BANJARI,General (Woman)
BARAN,CHHIPABAROD,BHAVPURA,SC
BARAN,CHHIPABAROD,BILENDI,SC (Woman)
BARAN,CHHIPABAROD,CHHEPA BAROD,General (Woman)
BARAN,CHHIPABAROD,DEEGOD KHALSA,ST
BARAN,CHHIPABAROD,DEEGODAR JAGEER,ST
BARAN,CHHIPABAROD,DEVRI JOD,SC (Woman)
BARAN,CHHIPABAROD,DHOLAM,ST (Woman)
BARAN,CHHIPABAROD,FULBARODA,OBC (Woman)
BARAN,CHHIPABAROD,GAGCHANA,General (Woman)
BARAN,CHHIPABAROD,GORDHANPURA,ST
BARAN,CHHIPABAROD,HARNAWADA SHAHJI,General (Woman)
BARAN,CHHIPABAROD,JHANJHANI,General
BARAN,CHHIPABAROD,KACHANARIYA KALAN,ST
BARAN,CHHIPABAROD,KALMODIYA,General (Woman)
BARAN,CHHIPABAROD,KALPA JAGEER,ST (Woman)
BARAN,CHHIPABAROD,KHANDELA,OBC
BARAN,CHHIPABAROD,KUMBHAKHERI,ST (Woman)
BARAN,CHHIPABAROD,MALPURA,OBC
BARAN,CHHIPABAROD,MOKHAMPURA,General (Woman)
BARAN,CHHIPABAROD,PACHHAD,General
BARAN,CHHIPABAROD,PEETHPUR,SC
BARAN,CHHIPABAROD,RAI,ST (Woman)
BARAN,CHHIPABAROD,SAHAJNPUR,General
BARAN,CHHIPABAROD,SARTHAL,General
BARAN,CHHIPABAROD,SETUKOLU,General (Woman)
BARAN,CHHIPABAROD,TANCHA,General
BANSWARA,CHHOTI SARVAN,BARI,ST
BANSWARA,CHHOTI SARVAN,CHHAYAN BADI,ST (Woman)
BANSWARA,CHHOTI SARVAN,CHHOTI SARVAN,ST
BANSWARA,CHHOTI SARVAN,Dairi,ST (Woman)
BANSWARA,CHHOTI SARVAN,DANPUR,ST
BANSWARA,CHHOTI SARVAN,DNAKSHRI,ST
BANSWARA,CHHOTI SARVAN,GAGERVA,ST
BANSWARA,CHHOTI SARVAN,GHODI TEJPUR,ST
BANSWARA,CHHOTI SARVAN,HARNATHPURA,ST (Woman)
BANSWARA,CHHOTI SARVAN,JAHANPURA,ST
BANSWARA,CHHOTI SARVAN,Kalakhet,ST (Woman)
BANSWARA,CHHOTI SARVAN,KATUMBI,ST
BANSWARA,CHHOTI SARVAN,KHJURI,ST (Woman)
BANSWARA,CHHOTI SARVAN,KOTDA,ST (Woman)
BANSWARA,CHHOTI SARVAN,Kundal,ST (Woman)
BANSWARA,CHHOTI SARVAN,MAKANPURA,ST
BANSWARA,CHHOTI SARVAN,MULIYA,ST
BANSWARA,CHHOTI SARVAN,NADIYA,ST
BANSWARA,CHHOTI SARVAN,NAPLA,ST (Woman)
BANSWARA,CHHOTI SARVAN,PHEPHER,ST (Woman)
BANSWARA,CHHOTI SARVAN,VAGTALAB,ST (Woman)
DUNGARPUR,CHIKHALI,AMBADA,ST
DUNGARPUR,CHIKHALI,BADGAMA,ST
DUNGARPUR,CHIKHALI,BAVDI,ST
DUNGARPUR,CHIKHALI,Bhachadiya Khas,ST
DUNGARPUR,CHIKHALI,BODAMLI,ST (Woman)
DUNGARPUR,CHIKHALI,Bormata,ST (Woman)
DUNGARPUR,CHIKHALI,CHINKHALI,ST (Woman)
DUNGARPUR,CHIKHALI,DARIYATI,ST (Woman)
DUNGARPUR,CHIKHALI,DHANGAON,ST
DUNGARPUR,CHIKHALI,Dhundi,ST (Woman)
DUNGARPUR,CHIKHALI,DUNGAR,ST
DUNGARPUR,CHIKHALI,DUNGARSARAN,ST (Woman)
DUNGARPUR,CHIKHALI,GUNDLARA,ST
DUNGARPUR,CHIKHALI,JORAWARPURA,ST (Woman)
DUNGARPUR,CHIKHALI,KAUN,ST (Woman)
DUNGARPUR,CHIKHALI,KOCHARI,ST (Woman)
DUNGARPUR,CHIKHALI,Likhatiya Panchkundi,ST (Woman)
DUNGARPUR,CHIKHALI,MALAKHOLDA,ST
DUNGARPUR,CHIKHALI,NAIBASTI BADGAMA,ST (Woman)
DUNGARPUR,CHIKHALI,Parada Dariyati,ST
DUNGARPUR,CHIKHALI,PUNAWADA,ST
DUNGARPUR,CHIKHALI,Rathadi,ST
DUNGARPUR,CHIKHALI,SAKODRA,ST (Woman)
DUNGARPUR,CHIKHALI,SALEDA,ST
DUNGARPUR,CHIKHALI,SENDOLA,ST (Woman)
DUNGARPUR,CHIKHALI,Shishot,ST
DUNGARPUR,CHIKHALI,Udadiya,ST
JHUNJHUNU,CHIRAWA,ALIPUR,General (Woman)
JHUNJHUNU,CHIRAWA,ARDAWATA,General (Woman)
JHUNJHUNU,CHIRAWA,BAKHTAWARPURA,General
JHUNJHUNU,CHIRAWA,BHAMARWASI,General (Woman)
JHUNJHUNU,CHIRAWA,BHUKANA,SC (Woman)
JHUNJHUNU,CHIRAWA,BUDANIYA,General
JHUNJHUNU,CHIRAWA,CHANANA,OBC
JHUNJHUNU,CHIRAWA,DHATARWALA,General (Woman)
JHUNJHUNU,CHIRAWA,GIDANIYA,General (Woman)
JHUNJHUNU,CHIRAWA,GOWLA,OBC (Woman)
JHUNJHUNU,CHIRAWA,KEHARPURA KALAN,General (Woman)
JHUNJHUNU,CHIRAWA,KHUDANA,SC
JHUNJHUNU,CHIRAWA,KISHORPURA,ST
JHUNJHUNU,CHIRAWA,KITHANA,General (Woman)
JHUNJHUNU,CHIRAWA,LAMBA,General (Woman)
JHUNJHUNU,CHIRAWA,LAMBA GOTHRI,OBC
JHUNJHUNU,CHIRAWA,NARHAR,General
JHUNJHUNU,CHIRAWA,NARI,OBC (Woman)
JHUNJHUNU,CHIRAWA,NOONIYA GOTHARA,General
JHUNJHUNU,CHIRAWA,OJTU,OBC
JHUNJHUNU,CHIRAWA,SARI,General
JHUNJHUNU,CHIRAWA,SHYOPURA BAS GODARA,SC (Woman)
JHUNJHUNU,CHIRAWA,SOLANA,General
JHUNJHUNU,CHIRAWA,SULTANA,SC
JALORE,CHITALWANA,DUTHVA,General
JALORE,CHITALWANA,HOTIGAON,SC
JALORE,CHITALWANA,JODHAWAS,OBC
JALORE,CHITALWANA,JORADER,SC (Woman)
JALORE,CHITALWANA,KESURI,General (Woman)
JALORE,CHITALWANA,KHEJDIYALI,SC (Woman)
JALORE,CHITALWANA,SESAVA,General
JALORE,CHITALWANA,Siphaiyon Ki Dhani (R),SC
JALORE,CHITALWANA,SURACHAND,General
JALORE,CHITALWANA,AKOLI,OBC (Woman)
JALORE,CHITALWANA,BHATKI,General
JALORE,CHITALWANA,BHIMGUDA,General (Woman)
JALORE,CHITALWANA,CHITALVANA,General
JALORE,CHITALWANA,Daukiyon v sahu ki dhani,SC (Woman)
JALORE,CHITALWANA,DAVAL,General
JALORE,CHITALWANA,DEVDA,ST
JALORE,CHITALWANA,DUNGRI,General (Woman)
JALORE,CHITALWANA,GOMI,General (Woman)
JALORE,CHITALWANA,GUDAHEMA,General
JALORE,CHITALWANA,HADECHA,OBC
JALORE,CHITALWANA,ITADA,General (Woman)
JALORE,CHITALWANA,JANVI,OBC (Woman)
JALORE,CHITALWANA,JHAB,General (Woman)
JALORE,CHITALWANA,KACHHLA,OBC
JALORE,CHITALWANA,KERIYA,General
JALORE,CHITALWANA,Khasarvi,SC
JALORE,CHITALWANA,Khirodi,General
JALORE,CHITALWANA,Meghawa,SC (Woman)
JALORE,CHITALWANA,NIMBAU,OBC
JALORE,CHITALWANA,PERAVA,General (Woman)
JALORE,CHITALWANA,Rampura (B),SC
JALORE,CHITALWANA,RANODER,OBC (Woman)
JALORE,CHITALWANA,SANGADAWA,General (Woman)
JALORE,CHITALWANA,SIVADA,General (Woman)
JALORE,CHITALWANA,SUTHDI,OBC (Woman)
JALORE,CHITALWANA,TANPI,General
JALORE,CHITALWANA,VIRAVA,General (Woman)
CHITTORGARH,BHAINSRORGARH,JAWADA,General
CHITTORGARH,BHAINSRORGARH,Jhalarbawadi,ST
CHITTORGARH,BHAINSRORGARH,JHARJHANI,General (Woman)
CHITTORGARH,GANGRAR,JOJRON KI KHEDA,ST (Woman)
CHITTORGARH,BARISADRI,KACHUMRA,General (Woman)
CHITTORGARH,BHOPALSAGAR,KANADKHEDA,ST
CHITTORGARH,BHOPALSAGAR,KANAKHEDA,SC (Woman)
CHITTORGARH,NIMBAHERA,KANERA,SC
CHITTORGARH,BHOPALSAGAR,KANKARWA,General (Woman)
CHITTORGARH,BHADESAR,KANNOJ,General
CHITTORGARH,BHADESAR,KANTHARIYA,OBC (Woman)
CHITTORGARH,GANGRAR,KANTI,General (Woman)
CHITTORGARH,BHADESAR,KAREDIYA,OBC
CHITTORGARH,KAPASAN,KARJALI,OBC
CHITTORGARH,DUNGLA,KARSANA,General
CHITTORGARH,KAPASAN,KARUKANDA,OBC
CHITTORGARH,NIMBAHERA,KARUNDA,ST
CHITTORGARH,CHITTORGARH,KASHMOR,General (Woman)
CHITTORGARH,BEGUN,KATUNDA,SC
CHITTORGARH,BARISADRI,KEERATPURA,General (Woman)
CHITTORGARH,NIMBAHERA,KELI,OBC (Woman)
CHITTORGARH,CHITTORGARH,KELJAR,General
CHITTORGARH,BEGUN,KERPURA,General (Woman)
CHITTORGARH,BARISADRI,KEWALPURA,ST
CHITTORGARH,BARISADRI,KHARDEWALA,General (Woman)
CHITTORGARH,GANGRAR,KHARKHANDA,General
CHITTORGARH,BHAINSRORGARH,KHATIKHEDA,General
CHITTORGARH,BEGUN,KHEDI,OBC
CHITTORGARH,BARISADRI,KHERMALIYA,General
CHITTORGARH,BHADESAR,KHODIP,General
CHITTORGARH,DUNGLA,KISHANKARERI,SC (Woman)
CHITTORGARH,NIMBAHERA,KOTDIKALAN,General
CHITTORGARH,BHAINSRORGARH,KUAKHEDA (JAWAHAR NAGAR),General
CHITTORGARH,BHADESAR,KUNTANA,ST (Woman)
CHITTORGARH,GANGRAR,KUNWALIYA,General (Woman)
CHITTORGARH,BHAINSRORGARH,Kushalgarh,ST (Woman)
CHITTORGARH,GANGRAR,LALAS,OBC
CHITTORGARH,KAPASAN,LANGACH,General
CHITTORGARH,RASHMI,LASADIYA KALAN,SC
CHITTORGARH,NIMBAHERA,LASDAVAN,General
PRATAPGARH,CHOTI SADRI,Karanpur Kalan,ST
PRATAPGARH,CHOTI SADRI,Achalpura,ST (Woman)
PRATAPGARH,CHOTI SADRI,AMBAWALI,ST
PRATAPGARH,CHOTI SADRI,BAMBORI,ST (Woman)
PRATAPGARH,CHOTI SADRI,Barkheda,ST
PRATAPGARH,CHOTI SADRI,BASEDA,ST
PRATAPGARH,CHOTI SADRI,Basedi Kundal,ST (Woman)
PRATAPGARH,CHOTI SADRI,Bhatkhedi,ST (Woman)
PRATAPGARH,CHOTI SADRI,CHANDOLI,ST (Woman)
PRATAPGARH,CHOTI SADRI,DHAWTA,ST
PRATAPGARH,CHOTI SADRI,DHOLAPANI,ST (Woman)
PRATAPGARH,CHOTI SADRI,GAGROL,ST
PRATAPGARH,CHOTI SADRI,GANESHPURA,ST (Woman)
PRATAPGARH,CHOTI SADRI,GOMANA,ST (Woman)
PRATAPGARH,CHOTI SADRI,Hadmatiya Jagir,ST (Woman)
PRATAPGARH,CHOTI SADRI,Haripura,ST
PRATAPGARH,CHOTI SADRI,Itton Ka Talab,ST (Woman)
PRATAPGARH,CHOTI SADRI,JALODAJAGIR,ST
PRATAPGARH,CHOTI SADRI,JALODIYA KELIKHARA,ST (Woman)
PRATAPGARH,CHOTI SADRI,KALAKOT,ST
PRATAPGARH,CHOTI SADRI,KARJU,ST (Woman)
PRATAPGARH,CHOTI SADRI,KARUNDA,ST
PRATAPGARH,CHOTI SADRI,KESUNDA,ST
PRATAPGARH,CHOTI SADRI,MANPURA JAGIR,ST (Woman)
PRATAPGARH,CHOTI SADRI,NARANI,ST (Woman)
PRATAPGARH,CHOTI SADRI,PILIKHERA,ST (Woman)
PRATAPGARH,CHOTI SADRI,PITHALVADIKALA,ST
PRATAPGARH,CHOTI SADRI,RAMBHAWALI,ST
PRATAPGARH,CHOTI SADRI,SAMERTHALI,ST
PRATAPGARH,CHOTI SADRI,SATOLA,ST
PRATAPGARH,CHOTI SADRI,Semrada,ST
PRATAPGARH,CHOTI SADRI,SIYAKHERI,ST
PRATAPGARH,CHOTI SADRI,SUBI,ST (Woman)
PRATAPGARH,CHOTI SADRI,SWAROOPGANJ,ST (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,ADALWARAKALA,ST
S. MADHOPUR,CHOUTH KA BARWADA,BALARIA,ST (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,BHAGWATGARH,General
S. MADHOPUR,CHOUTH KA BARWADA,BHEDOLA,General (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,BINJARI,General
S. MADHOPUR,CHOUTH KA BARWADA,CHOUTH KA BARWADA,General (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,DAHAKAVA,ST
S. MADHOPUR,CHOUTH KA BARWADA,DIDYACH,SC
S. MADHOPUR,CHOUTH KA BARWADA,ISARDA,OBC
S. MADHOPUR,CHOUTH KA BARWADA,JHOPRA,General (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,JOLA,General
S. MADHOPUR,CHOUTH KA BARWADA,KHIJURI,General (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,KUSHALTA,General
S. MADHOPUR,CHOUTH KA BARWADA,MAHAPURA,SC (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,MUI,SC
S. MADHOPUR,CHOUTH KA BARWADA,PANCHOLAS,General
S. MADHOPUR,CHOUTH KA BARWADA,PAONDERA PAVDEDA,ST
S. MADHOPUR,CHOUTH KA BARWADA,RAJWANA,General (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,RAVANJANA CHOUR,SC
S. MADHOPUR,CHOUTH KA BARWADA,Rawanjana Dungar,General (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,SARSOAP,General (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,SHIVAR,SC (Woman)
S. MADHOPUR,CHOUTH KA BARWADA,TAPUR,ST (Woman)
CHURU,CHURU,ASALKHEDI,OBC (Woman)
CHURU,CHURU,BALRASAR ATHUNA,OBC
CHURU,CHURU,BHAMASI,General (Woman)
CHURU,CHURU,BINASAR,SC (Woman)
CHURU,CHURU,BUNTIYA,SC
CHURU,CHURU,CHALKOI BANIROTAN,OBC (Woman)
CHURU,CHURU,Daandu,General
CHURU,CHURU,DEPALSAR,General
CHURU,CHURU,DHADHAR,SC (Woman)
CHURU,CHURU,DHADHIRYA BANIROTAN,General (Woman)
CHURU,CHURU,DUDHVAKHARA,General (Woman)
CHURU,CHURU,DUDHWA MITHA,General
CHURU,CHURU,GAHNGHU,General (Woman)
CHURU,CHURU,GHANTEL,General (Woman)
CHURU,CHURU,INDRAPURA,General
CHURU,CHURU,JASASAR,SC
CHURU,CHURU,JASRASAR,OBC
CHURU,CHURU,JHARIYA,General (Woman)
CHURU,CHURU,JODI PATTA SATYU,OBC (Woman)
CHURU,CHURU,KEDVASAR,OBC
CHURU,CHURU,KHANDWA PATTA CHURU,General (Woman)
CHURU,CHURU,KHANSOLI,OBC (Woman)
CHURU,CHURU,KHINVSAR,OBC
CHURU,CHURU,KOTWAV TAL,General (Woman)
CHURU,CHURU,LAKHAU,SC
CHURU,CHURU,LALASAR BANIROTAN,General
CHURU,CHURU,LOHSNA BADA,SC (Woman)
CHURU,CHURU,MOLISAR BADA,General (Woman)
CHURU,CHURU,NAKARSAR,General (Woman)
CHURU,CHURU,PITHISAR,General
CHURU,CHURU,Raipuriya,SC
CHURU,CHURU,RANASAR,General
CHURU,CHURU,RIBIYA,General
CHURU,CHURU,SAHAJUSAR,General
CHURU,CHURU,SATDA,General (Woman)
CHURU,CHURU,SEHNALI CHHOTI,SC
CHURU,CHURU,SHYOPURA,General
CHURU,CHURU,SIRSILA,SC (Woman)
CHURU,CHURU,SOMASI,SC (Woman)
CHURU,CHURU,THAILASAR,General
CHURU,CHURU,RIBIYA,OBC
PRATAPGARH,DALOT,Ambirama,ST
PRATAPGARH,DALOT,Badisakhthali,ST
PRATAPGARH,DALOT,Banslai,ST
PRATAPGARH,DALOT,Bhachundla,ST (Woman)
PRATAPGARH,DALOT,Bhatbhamaria,ST
PRATAPGARH,DALOT,Bordia,ST
PRATAPGARH,DALOT,Bori A,ST
PRATAPGARH,DALOT,Chakunda,ST (Woman)
PRATAPGARH,DALOT,Chandera,ST (Woman)
PRATAPGARH,DALOT,Choukhali Pipli,ST (Woman)
PRATAPGARH,DALOT,Dalot,ST
PRATAPGARH,DALOT,Jeeravata,ST
PRATAPGARH,DALOT,Kangarh,ST
PRATAPGARH,DALOT,Kumhariyo Ka Pathar,ST
PRATAPGARH,DALOT,Lapriyarundi,ST (Woman)
PRATAPGARH,DALOT,Lilia,ST (Woman)
PRATAPGARH,DALOT,Luharkhali,ST
PRATAPGARH,DALOT,Ninor,ST
PRATAPGARH,DALOT,Raipur,ST (Woman)
PRATAPGARH,DALOT,Raipur Jungle,ST
PRATAPGARH,DALOT,Salamgarh,ST (Woman)
PRATAPGARH,DALOT,Satmahudi,ST (Woman)
PRATAPGARH,DALOT,Sevna,ST (Woman)
PRATAPGARH,DALOT,Unthel,ST (Woman)
SIKAR,DANTA RAMGARH,BAJAWAS,OBC (Woman)
SIKAR,DANTA RAMGARH,BANTHALA,General
SIKAR,DANTA RAMGARH,BANUDA,General (Woman)
SIKAR,DANTA RAMGARH,BAY,General
SIKAR,DANTA RAMGARH,BHARIJA,OBC (Woman)
SIKAR,DANTA RAMGARH,CHAK,General (Woman)
SIKAR,DANTA RAMGARH,CHENPURA,SC (Woman)
SIKAR,DANTA RAMGARH,DANSORLI,General
SIKAR,DANTA RAMGARH,DANTA,General (Woman)
SIKAR,DANTA RAMGARH,DHOLSARI,OBC
SIKAR,DANTA RAMGARH,DUVIDHA,SC (Woman)
SIKAR,DANTA RAMGARH,KANKARA,SC (Woman)
SIKAR,DANTA RAMGARH,KARAD,General (Woman)
SIKAR,DANTA RAMGARH,Karanpura,SC (Woman)
SIKAR,DANTA RAMGARH,KHACHARIYAWAS,ST
SIKAR,DANTA RAMGARH,KHORA,OBC
SIKAR,DANTA RAMGARH,KHUD,SC
SIKAR,DANTA RAMGARH,KULI,General
SIKAR,DANTA RAMGARH,LIKHMA KA BAS,General
SIKAR,DANTA RAMGARH,Maganpura,SC
SIKAR,DANTA RAMGARH,MANDH (SURERA),General
SIKAR,DANTA RAMGARH,MEAI,General (Woman)
SIKAR,DANTA RAMGARH,MOTLAWAS,General
SIKAR,DANTA RAMGARH,MUNDIYAWAS,General (Woman)
SIKAR,DANTA RAMGARH,PACHAR,OBC
SIKAR,DANTA RAMGARH,Rajpura (Nosal),SC
SIKAR,DANTA RAMGARH,RAMGARH,General (Woman)
SIKAR,DANTA RAMGARH,RUPGARH,General (Woman)
SIKAR,DANTA RAMGARH,SULYAWAS,General
SIKAR,DANTA RAMGARH,SURERA,OBC (Woman)
DAUSA,DAUSA,Badoli,ST
DAUSA,DAUSA,BANE KA BARKHEDA,OBC
DAUSA,DAUSA,BAPI,General
DAUSA,DAUSA,BHANDAREJ,SC
DAUSA,DAUSA,BHANKARI,SC
DAUSA,DAUSA,BISHANPURA,SC
DAUSA,DAUSA,BORODA,SC
DAUSA,DAUSA,CHANDARANA,SC
DAUSA,DAUSA,CHAWANDEDA,OBC
DAUSA,DAUSA,CHORDI,ST
DAUSA,DAUSA,Ganeshpura,OBC
DAUSA,DAUSA,HARIPURA,ST
DAUSA,DAUSA,JASOTA,ST
DAUSA,DAUSA,JOPADA,General
DAUSA,DAUSA,KABALESHWER,OBC
DAUSA,DAUSA,KALAKHO,SC
DAUSA,DAUSA,KALIPAHADI,ST (Woman)
DAUSA,DAUSA,KALOTA,SC
DAUSA,DAUSA,KHERWAL,SC
DAUSA,DAUSA,KHURIKALAN,General
DAUSA,DAUSA,KUNDAL,SC (Woman)
DAUSA,DAUSA,MAHESHWAR KHURD,ST (Woman)
DAUSA,DAUSA,MAHESHWARA KALAN,General (Woman)
DAUSA,DAUSA,NAGAL BAIRSE,ST (Woman)
DAUSA,DAUSA,NANGAL CHAPA,OBC
DAUSA,DAUSA,Nimali,SC
DAUSA,DAUSA,RALAVATA,OBC
DAUSA,DAUSA,Rampura Ka Maharajpura,ST
DAUSA,DAUSA,SENTHAL,General (Woman)
DAUSA,DAUSA,SINDOLI,General
DAUSA,DAUSA,SURAJPURA,ST
DAUSA,DAUSA,TITARWARA KALAN,ST
JODHPUR,DECHU,Aasarlai,General (Woman)
JODHPUR,DECHU,Bhivasagar,OBC (Woman)
JODHPUR,DECHU,Budkiya,OBC
JODHPUR,DECHU,CHANDSAMA,SC (Woman)
JODHPUR,DECHU,CHORDIYA,General
JODHPUR,DECHU,DECHU,General
JODHPUR,DECHU,Govindpura,General
JODHPUR,DECHU,GUMANPURA,General (Woman)
JODHPUR,DECHU,JETHANIYA,SC
JODHPUR,DECHU,JETSAR,General
JODHPUR,DECHU,KALAU,General (Woman)
JODHPUR,DECHU,Kanoriya Mahasingh,General (Woman)
JODHPUR,DECHU,KhedaBagodiya,General (Woman)
JODHPUR,DECHU,Khetsagar,ST
JODHPUR,DECHU,Khiyasariya,General
JODHPUR,DECHU,Kolu Nimbayat,SC (Woman)
JODHPUR,DECHU,KOLU PABUJI,General (Woman)
JODHPUR,DECHU,Kolurathoda,OBC (Woman)
JODHPUR,DECHU,Lalpura,SC (Woman)
JODHPUR,DECHU,MANDLA KALAN,General
JODHPUR,DECHU,Mandla Khurd,SC
JODHPUR,DECHU,Padampur,OBC
JODHPUR,DECHU,PEELWA,General (Woman)
JODHPUR,DECHU,Phatehgarh,OBC
JODHPUR,DECHU,Ramnagar,OBC (Woman)
JODHPUR,DECHU,Sagra,SC
JODHPUR,DECHU,SETRAVA,General
JODHPUR,DECHU,Shivpura,General (Woman)
JODHPUR,DECHU,UNTWALIYA,General
JODHPUR,DECHU,Viramdevgarh,SC (Woman)
JODHPUR,DECHU,BHOJAKOR,General
JODHPUR,DECHU,MASJID KI DHANI,General
JODHPUR,DECHU,Rawatnagar,OBC
JODHPUR,DECHU,Riddmalnagar,General
NAGAUR,DIDWANA,Kharvaliya,General
NAGAUR,DIDWANA,Pidawa,General (Woman)
NAGAUR,DIDWANA,AANGUTA,General (Woman)
NAGAUR,DIDWANA,BALIYA,General
NAGAUR,DIDWANA,BARANGANA,General
NAGAUR,DIDWANA,BHEECHAWA,General (Woman)
NAGAUR,DIDWANA,CHHOLUKHA,OBC (Woman)
NAGAUR,DIDWANA,DADU BASNI,SC
NAGAUR,DIDWANA,DAULATPURA,General (Woman)
NAGAUR,DIDWANA,DAYALPURA,General
NAGAUR,DIDWANA,DUNDOLI,General (Woman)
NAGAUR,DIDWANA,Godraas,OBC
NAGAUR,DIDWANA,KALVANI,General (Woman)
NAGAUR,DIDWANA,KERAP,SC
NAGAUR,DIDWANA,KHARESH,SC (Woman)
NAGAUR,DIDWANA,KHATUKHURD,General
NAGAUR,DIDWANA,KHUNKHUNA,General
NAGAUR,DIDWANA,KOLIYA,SC (Woman)
NAGAUR,DIDWANA,LALASARI,General (Woman)
NAGAUR,DIDWANA,LOROLIKALA,OBC (Woman)
NAGAUR,DIDWANA,MAMDODA,OBC
NAGAUR,DIDWANA,Mandabaasni,SC
NAGAUR,DIDWANA,Mandukara,General
NAGAUR,DIDWANA,MAWA,General
NAGAUR,DIDWANA,Nimbi Khurd,SC (Woman)
NAGAUR,DIDWANA,NIMBIKALAN,OBC (Woman)
NAGAUR,DIDWANA,PALOT,OBC (Woman)
NAGAUR,DIDWANA,Pawa,General
NAGAUR,DIDWANA,Pyanwa,SC (Woman)
NAGAUR,DIDWANA,Ramsabaas,OBC
NAGAUR,DIDWANA,Ransisar Jatan,SC (Woman)
NAGAUR,DIDWANA,SANIYA,SC
NAGAUR,DIDWANA,SHERANI ABAD,General
NAGAUR,DIDWANA,SIGARAWATKALA,General
NAGAUR,DIDWANA,SINGHANA,OBC
NAGAUR,DIDWANA,SUPKA,General (Woman)
NAGAUR,DIDWANA,THANU,General (Woman)
BHARATPUR,DEEG,AAU,General
BHARATPUR,DEEG,BADANGARH,SC
BHARATPUR,DEEG,BADRIPUR,SC (Woman)
BHARATPUR,DEEG,BAHAJ,SC
BHARATPUR,DEEG,BANDHA CHOTH,OBC (Woman)
BHARATPUR,DEEG,BARAI,SC (Woman)
BHARATPUR,DEEG,BAROLE CHOTH,OBC (Woman)
BHARATPUR,DEEG,BEDHAM,OBC
BHARATPUR,DEEG,CHULHERA,OBC (Woman)
BHARATPUR,DEEG,DANTLOTHI,General
BHARATPUR,DEEG,DHAMARI,OBC
BHARATPUR,DEEG,DIDAWALI,OBC (Woman)
BHARATPUR,DEEG,Garhi Mewat,General
BHARATPUR,DEEG,GUHANA,General
BHARATPUR,DEEG,IKLHARA,OBC
BHARATPUR,DEEG,JANUTHAR,General (Woman)
BHARATPUR,DEEG,JATOLITHOON,General
BHARATPUR,DEEG,KAKDA,General
BHARATPUR,DEEG,KASOOT,OBC
BHARATPUR,DEEG,KHEDA BRAHAMAN,SC
BHARATPUR,DEEG,KHOH,OBC (Woman)
BHARATPUR,DEEG,KHOHRI,General (Woman)
BHARATPUR,DEEG,KORER,General
BHARATPUR,DEEG,KUCHAWATI,General (Woman)
BHARATPUR,DEEG,MAWAI,General (Woman)
BHARATPUR,DEEG,MOROLI,SC
BHARATPUR,DEEG,NIGOHI,SC (Woman)
BHARATPUR,DEEG,PANHORI,General (Woman)
BHARATPUR,DEEG,PARMDRA,General (Woman)
BHARATPUR,DEEG,PASOPA,General
BHARATPUR,DEEG,PASTA,General (Woman)
BHARATPUR,DEEG,SANWAI,General
BHARATPUR,DEEG,SHEESWADA,General (Woman)
BHARATPUR,DEEG,SINSINI,General
BHARATPUR,DEEG,SONGAON,General
BHARATPUR,DEEG,SYORAWALI,General (Woman)
BHARATPUR,DEEG,TODA,General (Woman)
NAGAUR,DEGANA,AANTROLI KALAN,General (Woman)
NAGAUR,DEGANA,BACHWARI,General (Woman)
NAGAUR,DEGANA,BANWARLA,OBC
NAGAUR,DEGANA,BARNA,OBC
NAGAUR,DEGANA,BUTATI,General
NAGAUR,DEGANA,CHANDAROON,General (Woman)
NAGAUR,DEGANA,CHOLIYAS,General
NAGAUR,DEGANA,CHOSLI,OBC (Woman)
NAGAUR,DEGANA,CHUI,SC (Woman)
NAGAUR,DEGANA,Chuva,SC (Woman)
NAGAUR,DEGANA,DAVOLI MEETHI,OBC (Woman)
